date,year,title,body,motion_no,motion,motion_type,result,mover,seconder,member,vote,source,provenance
2023-11-28,2023,City Council Special Meeting,Council,1,"MOVED TO APPROVE THE MINUTES AS PRESENTED. MOTION } WAS SECONDED BY COUNCIL MEMBER BLAIR,",Procedural/Administrative,Voice Pass,,Bart E. Blair,,,meeting_minutes/minutes/2023/2023-11-27/2023-11-28_city-council-special-meeting.md,minutes
2023-11-28,2023,City Council Special Meeting,Council,2,"MOVED THE PUBLIC HEARING BE CLOSED. MOTION WAS SECONDED BY COUNCIL MEMBER NADOLSKI,",Public Hearing Action,Voice Pass,,Ben Nadolski,,,meeting_minutes/minutes/2023/2023-11-27/2023-11-28_city-council-special-meeting.md,minutes
2023-11-28,2023,City Council Special Meeting,Council,3,"ON A MOTION BY COUNCIL MEMBER HYER AND SECONDED BY COUNCIL MEMBER NADOLSKI, ORDINANCE WAS PASSED AND ADOPTED AS OGDEN CITY ORDINANCE 2023-66 AND ORDERED POSTED AS REQUIRED BY LAW [ENTITLED: ""An ordinance of Ogden City amending the budget for the fiscal year July 1, 2023 to June 30, 2024 by ; increasing the anticipated revenues for a gross increase of $1,500,000 from sources as detailed in the body of 7 this ordinance; and increasing the appropriations for a gross increase of $1,500,000 as detailed in the body of this ordinance; and providing that this ordinance shall become effective immediately upon posting after final passage.""]",Ordinance,6-0 Pass,Richard A. Hyer,Ben Nadolski,Angela Choberka,Absent,meeting_minutes/minutes/2023/2023-11-27/2023-11-28_city-council-special-meeting.md,minutes
2023-11-28,2023,City Council Special Meeting,Council,3,"ON A MOTION BY COUNCIL MEMBER HYER AND SECONDED BY COUNCIL MEMBER NADOLSKI, ORDINANCE WAS PASSED AND ADOPTED AS OGDEN CITY ORDINANCE 2023-66 AND ORDERED POSTED AS REQUIRED BY LAW [ENTITLED: ""An ordinance of Ogden City amending the budget for the fiscal year July 1, 2023 to June 30, 2024 by ; increasing the anticipated revenues for a gross increase of $1,500,000 from sources as detailed in the body of 7 this ordinance; and increasing the appropriations for a gross increase of $1,500,000 as detailed in the body of this ordinance; and providing that this ordinance shall become effective immediately upon posting after final passage.""]",Ordinance,6-0 Pass,Richard A. Hyer,Ben Nadolski,Bart E. Blair,Aye,meeting_minutes/minutes/2023/2023-11-27/2023-11-28_city-council-special-meeting.md,minutes
2023-11-28,2023,City Council Special Meeting,Council,3,"ON A MOTION BY COUNCIL MEMBER HYER AND SECONDED BY COUNCIL MEMBER NADOLSKI, ORDINANCE WAS PASSED AND ADOPTED AS OGDEN CITY ORDINANCE 2023-66 AND ORDERED POSTED AS REQUIRED BY LAW [ENTITLED: ""An ordinance of Ogden City amending the budget for the fiscal year July 1, 2023 to June 30, 2024 by ; increasing the anticipated revenues for a gross increase of $1,500,000 from sources as detailed in the body of 7 this ordinance; and increasing the appropriations for a gross increase of $1,500,000 as detailed in the body of this ordinance; and providing that this ordinance shall become effective immediately upon posting after final passage.""]",Ordinance,6-0 Pass,Richard A. Hyer,Ben Nadolski,Ben Nadolski,Aye,meeting_minutes/minutes/2023/2023-11-27/2023-11-28_city-council-special-meeting.md,minutes
2023-11-28,2023,City Council Special Meeting,Council,3,"ON A MOTION BY COUNCIL MEMBER HYER AND SECONDED BY COUNCIL MEMBER NADOLSKI, ORDINANCE WAS PASSED AND ADOPTED AS OGDEN CITY ORDINANCE 2023-66 AND ORDERED POSTED AS REQUIRED BY LAW [ENTITLED: ""An ordinance of Ogden City amending the budget for the fiscal year July 1, 2023 to June 30, 2024 by ; increasing the anticipated revenues for a gross increase of $1,500,000 from sources as detailed in the body of 7 this ordinance; and increasing the appropriations for a gross increase of $1,500,000 as detailed in the body of this ordinance; and providing that this ordinance shall become effective immediately upon posting after final passage.""]",Ordinance,6-0 Pass,Richard A. Hyer,Ben Nadolski,Ken Richey,Aye,meeting_minutes/minutes/2023/2023-11-27/2023-11-28_city-council-special-meeting.md,minutes
2023-11-28,2023,City Council Special Meeting,Council,3,"ON A MOTION BY COUNCIL MEMBER HYER AND SECONDED BY COUNCIL MEMBER NADOLSKI, ORDINANCE WAS PASSED AND ADOPTED AS OGDEN CITY ORDINANCE 2023-66 AND ORDERED POSTED AS REQUIRED BY LAW [ENTITLED: ""An ordinance of Ogden City amending the budget for the fiscal year July 1, 2023 to June 30, 2024 by ; increasing the anticipated revenues for a gross increase of $1,500,000 from sources as detailed in the body of 7 this ordinance; and increasing the appropriations for a gross increase of $1,500,000 as detailed in the body of this ordinance; and providing that this ordinance shall become effective immediately upon posting after final passage.""]",Ordinance,6-0 Pass,Richard A. Hyer,Ben Nadolski,Luis Lopez,Aye,meeting_minutes/minutes/2023/2023-11-27/2023-11-28_city-council-special-meeting.md,minutes
2023-11-28,2023,City Council Special Meeting,Council,3,"ON A MOTION BY COUNCIL MEMBER HYER AND SECONDED BY COUNCIL MEMBER NADOLSKI, ORDINANCE WAS PASSED AND ADOPTED AS OGDEN CITY ORDINANCE 2023-66 AND ORDERED POSTED AS REQUIRED BY LAW [ENTITLED: ""An ordinance of Ogden City amending the budget for the fiscal year July 1, 2023 to June 30, 2024 by ; increasing the anticipated revenues for a gross increase of $1,500,000 from sources as detailed in the body of 7 this ordinance; and increasing the appropriations for a gross increase of $1,500,000 as detailed in the body of this ordinance; and providing that this ordinance shall become effective immediately upon posting after final passage.""]",Ordinance,6-0 Pass,Richard A. Hyer,Ben Nadolski,Marcia L. White,Aye,meeting_minutes/minutes/2023/2023-11-27/2023-11-28_city-council-special-meeting.md,minutes
2023-11-28,2023,City Council Special Meeting,Council,3,"ON A MOTION BY COUNCIL MEMBER HYER AND SECONDED BY COUNCIL MEMBER NADOLSKI, ORDINANCE WAS PASSED AND ADOPTED AS OGDEN CITY ORDINANCE 2023-66 AND ORDERED POSTED AS REQUIRED BY LAW [ENTITLED: ""An ordinance of Ogden City amending the budget for the fiscal year July 1, 2023 to June 30, 2024 by ; increasing the anticipated revenues for a gross increase of $1,500,000 from sources as detailed in the body of 7 this ordinance; and increasing the appropriations for a gross increase of $1,500,000 as detailed in the body of this ordinance; and providing that this ordinance shall become effective immediately upon posting after final passage.""]",Ordinance,6-0 Pass,Richard A. Hyer,Ben Nadolski,Richard A. Hyer,Aye,meeting_minutes/minutes/2023/2023-11-27/2023-11-28_city-council-special-meeting.md,minutes
2023-11-28,2023,City Council Special Meeting,Council,4,"MOVED THE PUBLIC - HEARING BE CLOSED. MOTION WAS SECONDED BY COUNCIL MEMBER NADOLSKI,",Other,Voice Pass,,Ben Nadolski,,,meeting_minutes/minutes/2023/2023-11-27/2023-11-28_city-council-special-meeting.md,minutes
2023-11-28,2023,City Council Special Meeting,Council,5,"ON A MOTION BY COUNCIL MEMBER NADOLSKI AND SECONDED BY COUNCIL MEMBER HYER, ORDINANCE WAS PASSED AND ADOPTED AS OGDEN CITY ORDINANCE 2023-67 AND ORDERED POSTED AS REQUIRED BY LAW [ENTITLED: ""An ordinance of Ogden City amending the budget for the Fiscal Year July 1, 2023 to June 30, 2024 by increasing the anticipated revenues for a gross increase of $3,810,575 from sources as detailed in the body of ; this ordinance; and increasing the appropriations for a gross increase of $3,810,575 as detailed in the body of a this ordinance; and providing that this ordinance shall become effective immediately upon posting after final passage.""]",Ordinance,6-0 Pass,Ben Nadolski,Richard A. Hyer,Angela Choberka,Absent,meeting_minutes/minutes/2023/2023-11-27/2023-11-28_city-council-special-meeting.md,minutes
2023-11-28,2023,City Council Special Meeting,Council,5,"ON A MOTION BY COUNCIL MEMBER NADOLSKI AND SECONDED BY COUNCIL MEMBER HYER, ORDINANCE WAS PASSED AND ADOPTED AS OGDEN CITY ORDINANCE 2023-67 AND ORDERED POSTED AS REQUIRED BY LAW [ENTITLED: ""An ordinance of Ogden City amending the budget for the Fiscal Year July 1, 2023 to June 30, 2024 by increasing the anticipated revenues for a gross increase of $3,810,575 from sources as detailed in the body of ; this ordinance; and increasing the appropriations for a gross increase of $3,810,575 as detailed in the body of a this ordinance; and providing that this ordinance shall become effective immediately upon posting after final passage.""]",Ordinance,6-0 Pass,Ben Nadolski,Richard A. Hyer,Bart E. Blair,Aye,meeting_minutes/minutes/2023/2023-11-27/2023-11-28_city-council-special-meeting.md,minutes
2023-11-28,2023,City Council Special Meeting,Council,5,"ON A MOTION BY COUNCIL MEMBER NADOLSKI AND SECONDED BY COUNCIL MEMBER HYER, ORDINANCE WAS PASSED AND ADOPTED AS OGDEN CITY ORDINANCE 2023-67 AND ORDERED POSTED AS REQUIRED BY LAW [ENTITLED: ""An ordinance of Ogden City amending the budget for the Fiscal Year July 1, 2023 to June 30, 2024 by increasing the anticipated revenues for a gross increase of $3,810,575 from sources as detailed in the body of ; this ordinance; and increasing the appropriations for a gross increase of $3,810,575 as detailed in the body of a this ordinance; and providing that this ordinance shall become effective immediately upon posting after final passage.""]",Ordinance,6-0 Pass,Ben Nadolski,Richard A. Hyer,Ben Nadolski,Aye,meeting_minutes/minutes/2023/2023-11-27/2023-11-28_city-council-special-meeting.md,minutes
2023-11-28,2023,City Council Special Meeting,Council,5,"ON A MOTION BY COUNCIL MEMBER NADOLSKI AND SECONDED BY COUNCIL MEMBER HYER, ORDINANCE WAS PASSED AND ADOPTED AS OGDEN CITY ORDINANCE 2023-67 AND ORDERED POSTED AS REQUIRED BY LAW [ENTITLED: ""An ordinance of Ogden City amending the budget for the Fiscal Year July 1, 2023 to June 30, 2024 by increasing the anticipated revenues for a gross increase of $3,810,575 from sources as detailed in the body of ; this ordinance; and increasing the appropriations for a gross increase of $3,810,575 as detailed in the body of a this ordinance; and providing that this ordinance shall become effective immediately upon posting after final passage.""]",Ordinance,6-0 Pass,Ben Nadolski,Richard A. Hyer,Ken Richey,Aye,meeting_minutes/minutes/2023/2023-11-27/2023-11-28_city-council-special-meeting.md,minutes
2023-11-28,2023,City Council Special Meeting,Council,5,"ON A MOTION BY COUNCIL MEMBER NADOLSKI AND SECONDED BY COUNCIL MEMBER HYER, ORDINANCE WAS PASSED AND ADOPTED AS OGDEN CITY ORDINANCE 2023-67 AND ORDERED POSTED AS REQUIRED BY LAW [ENTITLED: ""An ordinance of Ogden City amending the budget for the Fiscal Year July 1, 2023 to June 30, 2024 by increasing the anticipated revenues for a gross increase of $3,810,575 from sources as detailed in the body of ; this ordinance; and increasing the appropriations for a gross increase of $3,810,575 as detailed in the body of a this ordinance; and providing that this ordinance shall become effective immediately upon posting after final passage.""]",Ordinance,6-0 Pass,Ben Nadolski,Richard A. Hyer,Luis Lopez,Aye,meeting_minutes/minutes/2023/2023-11-27/2023-11-28_city-council-special-meeting.md,minutes
2023-11-28,2023,City Council Special Meeting,Council,5,"ON A MOTION BY COUNCIL MEMBER NADOLSKI AND SECONDED BY COUNCIL MEMBER HYER, ORDINANCE WAS PASSED AND ADOPTED AS OGDEN CITY ORDINANCE 2023-67 AND ORDERED POSTED AS REQUIRED BY LAW [ENTITLED: ""An ordinance of Ogden City amending the budget for the Fiscal Year July 1, 2023 to June 30, 2024 by increasing the anticipated revenues for a gross increase of $3,810,575 from sources as detailed in the body of ; this ordinance; and increasing the appropriations for a gross increase of $3,810,575 as detailed in the body of a this ordinance; and providing that this ordinance shall become effective immediately upon posting after final passage.""]",Ordinance,6-0 Pass,Ben Nadolski,Richard A. Hyer,Marcia L. White,Aye,meeting_minutes/minutes/2023/2023-11-27/2023-11-28_city-council-special-meeting.md,minutes
