date,year,title,slug,path,source,source_url,format
2020-08-18,2020,City Council Electronic Meeting,city-council-regular-meeting,minutes/2020/2020-08-17/2020-08-18_city-council-regular-meeting.md,pmn,https://www.utah.gov/pmn/files/635107.pdf,pdf-text
2020-08-18,2020,City Council Study Session Electronic Meeting,city-council-study-meeting,minutes/2020/2020-08-17/2020-08-18_city-council-study-meeting.md,pmn,https://www.utah.gov/pmn/files/635105.pdf,pdf-text
2020-09-01,2020,City Council Study Session Electronic Meeting,city-council-study-meeting,minutes/2020/2020-08-31/2020-09-01_city-council-study-meeting.md,pmn,https://www.utah.gov/pmn/files/639007.pdf,pdf-text
2020-09-01,2020,COMBINED CITY COUNCIL - REDEVELOPMENT AGENCY ELECTRONIC MEETING MUNICIPAL BUILDING AUTHORITY,combined-city-council-redevelopment-agency-meeting,minutes/2020/2020-08-31/2020-09-01_combined-city-council-redevelopment-agency-meeting.md,pmn,https://www.utah.gov/pmn/files/639009.pdf,pdf-text
2020-09-15,2020,City Council Electronic Meeting,city-council-regular-meeting,minutes/2020/2020-09-14/2020-09-15_city-council-regular-meeting.md,pmn,https://www.utah.gov/pmn/files/646527.pdf,pdf-text
2020-09-15,2020,City Council Study Session Electronic Meeting,city-council-study-meeting,minutes/2020/2020-09-14/2020-09-15_city-council-study-meeting.md,pmn,https://www.utah.gov/pmn/files/646535.pdf,pdf-text
2020-10-06,2020,City Council Electronic Meeting,city-council-regular-meeting,minutes/2020/2020-10-05/2020-10-06_city-council-regular-meeting.md,pmn,https://www.utah.gov/pmn/files/651093.pdf,pdf-text
2020-10-06,2020,City Council Study Session Electronic Meeting,city-council-study-meeting,minutes/2020/2020-10-05/2020-10-06_city-council-study-meeting.md,pmn,https://www.utah.gov/pmn/files/651095.pdf,pdf-text
2020-10-20,2020,City Council Electronic Meeting,city-council-regular-meeting,minutes/2020/2020-10-19/2020-10-20_city-council-regular-meeting.md,pmn,https://www.utah.gov/pmn/files/659707.pdf,pdf-text
2020-10-20,2020,City Council Study Session Electronic Meeting,city-council-study-meeting,minutes/2020/2020-10-19/2020-10-20_city-council-study-meeting.md,pmn,https://www.utah.gov/pmn/files/659701.pdf,pdf-text
2020-10-27,2020,CITY COUNCIL ELECTRONIC STRATEGIC PLANNING MEETING,city-council-strategic-planning-meeting,minutes/2020/2020-10-26/2020-10-27_city-council-strategic-planning-meeting.md,pmn,https://www.utah.gov/pmn/files/659711.pdf,pdf-text
2020-11-17,2020,City Council Electronic Meeting,city-council-regular-meeting,minutes/2020/2020-11-16/2020-11-17_city-council-regular-meeting.md,pmn,https://www.utah.gov/pmn/files/663431.pdf,pdf-text
2020-11-17,2020,City Council Study Session Electronic Meeting,city-council-study-meeting,minutes/2020/2020-11-16/2020-11-17_city-council-study-meeting.md,pmn,https://www.utah.gov/pmn/files/663427.pdf,pdf-text
2020-12-01,2020,City Council Electronic Meeting,city-council-regular-meeting,minutes/2020/2020-11-30/2020-12-01_city-council-regular-meeting.md,pmn,https://www.utah.gov/pmn/files/673357.pdf,pdf-text
2020-12-01,2020,City Council Study Session Electronic Meeting,city-council-study-meeting,minutes/2020/2020-11-30/2020-12-01_city-council-study-meeting.md,pmn,https://www.utah.gov/pmn/files/673359.pdf,pdf-text
2021-01-05,2021,01-05-21 City Council Meeting Minutes,city-council-regular-meeting,minutes/2021/2021-01-04/2021-01-05_city-council-regular-meeting.md,civicplus,https://www.sjc.utah.gov/Archive.aspx?ADID=191,pdf-text
2021-01-05,2021,01-05-21 City Council Study Session Meeting Minutes,city-council-study-meeting,minutes/2021/2021-01-04/2021-01-05_city-council-study-meeting.md,civicplus,https://www.sjc.utah.gov/Archive.aspx?ADID=192,pdf-text
2021-01-19,2021,01-19-21 City Council MEETING MINUTES,city-council-regular-meeting,minutes/2021/2021-01-18/2021-01-19_city-council-regular-meeting.md,civicplus,https://www.sjc.utah.gov/Archive.aspx?ADID=193,pdf-text
2021-01-19,2021,01-19-21 City Council STUDY SESSION MEETING MINUTES,city-council-study-meeting,minutes/2021/2021-01-18/2021-01-19_city-council-study-meeting.md,civicplus,https://www.sjc.utah.gov/Archive.aspx?ADID=195,pdf-text
2021-01-26,2021,01-26-21 City Council Closed Session Electronic Meeting Minutes,city-council-closed-session-meeting,minutes/2021/2021-01-25/2021-01-26_city-council-closed-session-meeting.md,civicplus,https://www.sjc.utah.gov/Archive.aspx?ADID=199,pdf-text
2021-01-27,2021,01-27-21 City Council Budget Meeting,city-council-budget-meeting,minutes/2021/2021-01-25/2021-01-27_city-council-budget-meeting.md,civicplus,https://www.sjc.utah.gov/Archive.aspx?ADID=200,pdf-text
2021-02-02,2021,02-02-21 City Council Meeting Minutes,city-council-regular-meeting,minutes/2021/2021-02-01/2021-02-02_city-council-regular-meeting.md,civicplus,https://www.sjc.utah.gov/Archive.aspx?ADID=201,pdf-text
2021-02-02,2021,02-02-21 City Council Study Session Meeting Minutes,city-council-study-meeting,minutes/2021/2021-02-01/2021-02-02_city-council-study-meeting.md,civicplus,https://www.sjc.utah.gov/Archive.aspx?ADID=202,pdf-text
2021-02-16,2021,02-16-21 City Council Meeting Minutes,city-council-regular-meeting,minutes/2021/2021-02-15/2021-02-16_city-council-regular-meeting.md,civicplus,https://www.sjc.utah.gov/Archive.aspx?ADID=203,pdf-text
2021-02-16,2021,02-16-21 City Council Study Session Meeting Minutes,city-council-study-meeting,minutes/2021/2021-02-15/2021-02-16_city-council-study-meeting.md,civicplus,https://www.sjc.utah.gov/Archive.aspx?ADID=204,pdf-text
2021-03-02,2021,03-02-21 City Council Meeting Minutes,city-council-regular-meeting,minutes/2021/2021-03-01/2021-03-02_city-council-regular-meeting.md,civicplus,https://www.sjc.utah.gov/Archive.aspx?ADID=205,pdf-text
2021-03-02,2021,03-02-21 City Council Study Session Meeting Minutes,city-council-study-meeting,minutes/2021/2021-03-01/2021-03-02_city-council-study-meeting.md,civicplus,https://www.sjc.utah.gov/Archive.aspx?ADID=206,pdf-text
2021-03-16,2021,03-16-21 City Council Meeting Minutes,city-council-regular-meeting,minutes/2021/2021-03-15/2021-03-16_city-council-regular-meeting.md,civicplus,https://www.sjc.utah.gov/Archive.aspx?ADID=207,pdf-text
2021-03-16,2021,03-16-21 City Council Study Session Meeting Minutes,city-council-study-meeting,minutes/2021/2021-03-15/2021-03-16_city-council-study-meeting.md,civicplus,https://www.sjc.utah.gov/Archive.aspx?ADID=208,pdf-text
2021-04-06,2021,04-06-21 City Council Meeting Minutes,city-council-regular-meeting,minutes/2021/2021-04-05/2021-04-06_city-council-regular-meeting.md,civicplus,https://www.sjc.utah.gov/Archive.aspx?ADID=209,pdf-text
2021-04-06,2021,04-06-21 City Council Study Session Meeting Minutes,city-council-study-meeting,minutes/2021/2021-04-05/2021-04-06_city-council-study-meeting.md,civicplus,https://www.sjc.utah.gov/Archive.aspx?ADID=210,pdf-text
2021-04-20,2021,04-20-21 City Council Meeting Minutes,city-council-regular-meeting,minutes/2021/2021-04-19/2021-04-20_city-council-regular-meeting.md,civicplus,https://www.sjc.utah.gov/Archive.aspx?ADID=211,pdf-text
2021-04-20,2021,04-20-21 City Council Study Session Meeting Minutes,city-council-study-meeting,minutes/2021/2021-04-19/2021-04-20_city-council-study-meeting.md,civicplus,https://www.sjc.utah.gov/Archive.aspx?ADID=212,pdf-text
2021-05-04,2021,05-04-21 City Council Study Session Meeting Minutes,city-council-study-meeting,minutes/2021/2021-05-03/2021-05-04_city-council-study-meeting.md,civicplus,https://www.sjc.utah.gov/Archive.aspx?ADID=213,pdf-text
2021-05-18,2021,05-18-21 City Council Meeting Minutes,city-council-regular-meeting,minutes/2021/2021-05-17/2021-05-18_city-council-regular-meeting.md,civicplus,https://www.sjc.utah.gov/Archive.aspx?ADID=214,pdf-text
2021-05-18,2021,05-18-21 City Council Study Session Meeting Minutes,city-council-study-meeting,minutes/2021/2021-05-17/2021-05-18_city-council-study-meeting.md,civicplus,https://www.sjc.utah.gov/Archive.aspx?ADID=215,pdf-text
2021-06-01,2021,06-01-21 City Council Meeting Minutes,city-council-regular-meeting,minutes/2021/2021-05-31/2021-06-01_city-council-regular-meeting.md,civicplus,https://www.sjc.utah.gov/Archive.aspx?ADID=216,pdf-text
2021-06-01,2021,06-01-21 City Council Study Session Meeting Minutes,city-council-study-meeting,minutes/2021/2021-05-31/2021-06-01_city-council-study-meeting.md,civicplus,https://www.sjc.utah.gov/Archive.aspx?ADID=217,pdf-text
2021-06-15,2021,06-15-21 City Council Meeting Minutes,city-council-regular-meeting,minutes/2021/2021-06-14/2021-06-15_city-council-regular-meeting.md,civicplus,https://www.sjc.utah.gov/Archive.aspx?ADID=218,pdf-text
2021-06-15,2021,06-15-21 City Council Study Session Meeting Minutes,city-council-study-meeting,minutes/2021/2021-06-14/2021-06-15_city-council-study-meeting.md,civicplus,https://www.sjc.utah.gov/Archive.aspx?ADID=219,pdf-text
2021-07-20,2021,07-20-21 City Council Meeting Minutes,city-council-regular-meeting,minutes/2021/2021-07-19/2021-07-20_city-council-regular-meeting.md,civicplus,https://www.sjc.utah.gov/Archive.aspx?ADID=220,pdf-text
2021-08-03,2021,08-03-21 City Council Meeting Minutes,city-council-regular-meeting,minutes/2021/2021-08-02/2021-08-03_city-council-regular-meeting.md,civicplus,https://www.sjc.utah.gov/Archive.aspx?ADID=221,pdf-text
2021-08-03,2021,08-03-21 City Council Study Session Meeting Minutes,city-council-study-meeting,minutes/2021/2021-08-02/2021-08-03_city-council-study-meeting.md,civicplus,https://www.sjc.utah.gov/Archive.aspx?ADID=222,pdf-text
2021-08-17,2021,08-17-21 City Council Meeting Minutes,city-council-regular-meeting,minutes/2021/2021-08-16/2021-08-17_city-council-regular-meeting.md,civicplus,https://www.sjc.utah.gov/Archive.aspx?ADID=223,pdf-text
2021-08-17,2021,08-17-21 City Council Study Session Meeting Minutes,city-council-study-meeting,minutes/2021/2021-08-16/2021-08-17_city-council-study-meeting.md,civicplus,https://www.sjc.utah.gov/Archive.aspx?ADID=224,pdf-text
2021-09-07,2021,09-07-21 City Council Meeting Minutes,city-council-regular-meeting,minutes/2021/2021-09-06/2021-09-07_city-council-regular-meeting.md,civicplus,https://www.sjc.utah.gov/Archive.aspx?ADID=225,pdf-text
2021-09-07,2021,09-07-21 City Council Study Session Meeting Minutes,city-council-study-meeting,minutes/2021/2021-09-06/2021-09-07_city-council-study-meeting.md,civicplus,https://www.sjc.utah.gov/Archive.aspx?ADID=226,pdf-text
2021-09-21,2021,09-21-21 City Council Meeting Minutes,city-council-regular-meeting,minutes/2021/2021-09-20/2021-09-21_city-council-regular-meeting.md,civicplus,https://www.sjc.utah.gov/Archive.aspx?ADID=227,pdf-text
2021-09-21,2021,09-21-21 City Council Study Session Meeting Minutes,city-council-study-meeting,minutes/2021/2021-09-20/2021-09-21_city-council-study-meeting.md,civicplus,https://www.sjc.utah.gov/Archive.aspx?ADID=228,pdf-text
2021-10-05,2021,10-05-21 City Council Meeting Minutes,city-council-regular-meeting,minutes/2021/2021-10-04/2021-10-05_city-council-regular-meeting.md,civicplus,https://www.sjc.utah.gov/Archive.aspx?ADID=229,pdf-text
2021-10-05,2021,10-05-21 City Council Study Session Meeting Minutes,city-council-study-meeting,minutes/2021/2021-10-04/2021-10-05_city-council-study-meeting.md,civicplus,https://www.sjc.utah.gov/Archive.aspx?ADID=230,pdf-text
2021-10-12,2021,10-12-21 City Council Strategic Planning Meeting Minutes,city-council-strategic-planning-meeting,minutes/2021/2021-10-11/2021-10-12_city-council-strategic-planning-meeting.md,civicplus,https://www.sjc.utah.gov/Archive.aspx?ADID=231,pdf-text
2021-10-19,2021,10-19-2021 City Council Meeting Minutes (recovered via PMN; CivicPlus ADID-232 mis-uploaded the Study minutes),city-council-regular-meeting,minutes/2021/2021-10-18/2021-10-19_city-council-regular-meeting.md,pmn,https://www.utah.gov/pmn/files/784439.pdf,pdf-text
2021-10-19,2021,10-19-21 City Council Study Session Meeting Minutes,city-council-study-meeting,minutes/2021/2021-10-18/2021-10-19_city-council-study-meeting.md,civicplus,https://www.sjc.utah.gov/Archive.aspx?ADID=233,pdf-text
2021-10-26,2021,10-26-21 City Council Special Meeting Minutes,city-council-regular-meeting,minutes/2021/2021-10-25/2021-10-26_city-council-regular-meeting.md,civicplus,https://www.sjc.utah.gov/Archive.aspx?ADID=234,pdf-text
2021-11-16,2021,11-16-21 City Council Board of Canvass Meeting Minutes,city-council-board-of-canvass-meeting,minutes/2021/2021-11-15/2021-11-16_city-council-board-of-canvass-meeting.md,civicplus,https://www.sjc.utah.gov/Archive.aspx?ADID=235,pdf-text
2021-11-16,2021,11-16-21 City Council Meeting Minutes,city-council-regular-meeting,minutes/2021/2021-11-15/2021-11-16_city-council-regular-meeting.md,civicplus,https://www.sjc.utah.gov/Archive.aspx?ADID=236,pdf-text
2021-11-16,2021,11-16-21 City Council Study Session Meeting Minutes,city-council-study-meeting,minutes/2021/2021-11-15/2021-11-16_city-council-study-meeting.md,civicplus,https://www.sjc.utah.gov/Archive.aspx?ADID=237,pdf-text
2021-11-30,2021,11-30-21 City Council Budget Meeting,city-council-budget-meeting,minutes/2021/2021-11-29/2021-11-30_city-council-budget-meeting.md,civicplus,https://www.sjc.utah.gov/Archive.aspx?ADID=238,pdf-text
2021-12-07,2021,12-07-21 City Council Meeting Minutes,city-council-regular-meeting,minutes/2021/2021-12-06/2021-12-07_city-council-regular-meeting.md,civicplus,https://www.sjc.utah.gov/Archive.aspx?ADID=239,pdf-text
2021-12-07,2021,12-07-21 City Council Study Session Meeting Minutes,city-council-study-meeting,minutes/2021/2021-12-06/2021-12-07_city-council-study-meeting.md,civicplus,https://www.sjc.utah.gov/Archive.aspx?ADID=240,pdf-text
2022-01-04,2022,01-04-2022 City Council Meeting Minutes,city-council-regular-meeting,minutes/2022/2022-01-03/2022-01-04_city-council-regular-meeting.md,civicplus,https://www.sjc.utah.gov/Archive.aspx?ADID=241,pdf-text
2022-01-04,2022,01-04-2022 City Council Study Session Meeting Minutes,city-council-study-meeting,minutes/2022/2022-01-03/2022-01-04_city-council-study-meeting.md,civicplus,https://www.sjc.utah.gov/Archive.aspx?ADID=242,pdf-text
2022-01-18,2022,01-18-2022 City Council Meeting Minutes,city-council-regular-meeting,minutes/2022/2022-01-17/2022-01-18_city-council-regular-meeting.md,civicplus,https://www.sjc.utah.gov/Archive.aspx?ADID=243,pdf-text
2022-01-18,2022,01-18-2022 City Council Study Session Meeting Minutes,city-council-study-meeting,minutes/2022/2022-01-17/2022-01-18_city-council-study-meeting.md,civicplus,https://www.sjc.utah.gov/Archive.aspx?ADID=244,pdf-text
2022-01-26,2022,01-26-2022 City Council Special Budget Meeting,city-council-budget-meeting,minutes/2022/2022-01-24/2022-01-26_city-council-budget-meeting.md,civicplus,https://www.sjc.utah.gov/Archive.aspx?ADID=245,pdf-text
2022-02-01,2022,02-01-2022 City Council Meeting Minutes,city-council-regular-meeting,minutes/2022/2022-01-31/2022-02-01_city-council-regular-meeting.md,civicplus,https://www.sjc.utah.gov/Archive.aspx?ADID=246,pdf-text
2022-02-01,2022,02-01-2022 City Council Study Session Meeting Minutes,city-council-study-meeting,minutes/2022/2022-01-31/2022-02-01_city-council-study-meeting.md,civicplus,https://www.sjc.utah.gov/Archive.aspx?ADID=247,pdf-text
2022-02-15,2022,02-15-2022 City Council Meeting Minutes,city-council-regular-meeting,minutes/2022/2022-02-14/2022-02-15_city-council-regular-meeting.md,civicplus,https://www.sjc.utah.gov/Archive.aspx?ADID=248,pdf-text
2022-02-15,2022,02-15-2022 City Council Study Session Meeting Minutes,city-council-study-meeting,minutes/2022/2022-02-14/2022-02-15_city-council-study-meeting.md,civicplus,https://www.sjc.utah.gov/Archive.aspx?ADID=249,pdf-text
2022-02-23,2022,02-23-2022 City Council Special Budget Meeting,city-council-budget-meeting,minutes/2022/2022-02-21/2022-02-23_city-council-budget-meeting.md,civicplus,https://www.sjc.utah.gov/Archive.aspx?ADID=250,pdf-text
