date,year,title,slug,path,source,source_url,format
2020-01-09,2020,Planning Commission,planning-commission-meeting,planning_commission/minutes/2020/2020-01-06/2020-01-09_planning-commission-meeting.md,revize,https://www.loganutah.gov/departments/comdev/PC%20Minutes/PC%20Minutes%2001-09-20.pdf?t=202001301810160,text
2020-01-23,2020,Planning Commission,planning-commission-meeting,planning_commission/minutes/2020/2020-01-20/2020-01-23_planning-commission-meeting.md,revize,https://www.loganutah.gov/departments/comdev/PC%20Minutes/PC%20Minutes%2001-23-20.pdf?t=202002181004050,text
2020-02-13,2020,Planning Commission,planning-commission-meeting,planning_commission/minutes/2020/2020-02-10/2020-02-13_planning-commission-meeting.md,revize,https://www.loganutah.gov/departments/comdev/PC%20Minutes/PC%20Minutes%2002-13-20.pdf?t=202002281056520,text
2020-02-27,2020,Planning Commission,planning-commission-meeting,planning_commission/minutes/2020/2020-02-24/2020-02-27_planning-commission-meeting.md,revize,https://www.loganutah.gov/departments/comdev/PC%20Minutes/PC%20Minutes%2002-27-20.pdf?t=202003181310580,text
2020-03-12,2020,Planning Commission,planning-commission-meeting,planning_commission/minutes/2020/2020-03-09/2020-03-12_planning-commission-meeting.md,revize,https://www.loganutah.gov/departments/comdev/PC%20Minutes/PC%20Minutes%2003-12-20.pdf?t=202004301850140,text
2020-04-09,2020,Planning Commission,planning-commission-meeting,planning_commission/minutes/2020/2020-04-06/2020-04-09_planning-commission-meeting.md,revize,https://www.loganutah.gov/departments/comdev/PC%20Minutes/PC%20Minutes%2004-09-20.pdf?t=202004301851400,text
2020-04-23,2020,Planning Commission,planning-commission-meeting,planning_commission/minutes/2020/2020-04-20/2020-04-23_planning-commission-meeting.md,revize,https://www.loganutah.gov/departments/comdev/PC%20Minutes/PC%20Minutes%2004-23-20.pdf?t=202005151824320,text
2020-05-14,2020,Planning Commission,planning-commission-meeting,planning_commission/minutes/2020/2020-05-11/2020-05-14_planning-commission-meeting.md,revize,https://www.loganutah.gov/departments/comdev/PC%20Minutes/PC%20Minutes%2005-14-20.pdf?t=202005290959510,text
2020-05-28,2020,Planning Commission,planning-commission-meeting,planning_commission/minutes/2020/2020-05-25/2020-05-28_planning-commission-meeting.md,revize,https://www.loganutah.gov/departments/comdev/PC%20Minutes/PC%20Minutes%2005-28-20.pdf?t=202006121038200,text
2020-06-11,2020,Planning Commission,planning-commission-meeting,planning_commission/minutes/2020/2020-06-08/2020-06-11_planning-commission-meeting.md,revize,https://www.loganutah.gov/departments/comdev/PC%20Minutes/PC%20Minutes%2006-11-20.pdf?t=202006300953550,text
2020-06-25,2020,Planning Commission,planning-commission-meeting,planning_commission/minutes/2020/2020-06-22/2020-06-25_planning-commission-meeting.md,revize,https://www.loganutah.gov/departments/comdev/PC%20Minutes/PC%20Minutes%2006-25-20.pdf?t=202007141101440,text
2020-07-09,2020,Planning Commission,planning-commission-meeting,planning_commission/minutes/2020/2020-07-06/2020-07-09_planning-commission-meeting.md,revize,https://www.loganutah.gov/departments/comdev/PC%20Minutes/PC%20Minutes%2007-09-20.pdf?t=202007281210470,text
2020-07-23,2020,Planning Commission,planning-commission-meeting,planning_commission/minutes/2020/2020-07-20/2020-07-23_planning-commission-meeting.md,revize,https://www.loganutah.gov/departments/comdev/PC%20Minutes/PC%20Minutes%2007-23-20.pdf?t=202008171314140,text
2020-08-13,2020,Planning Commission,planning-commission-meeting,planning_commission/minutes/2020/2020-08-10/2020-08-13_planning-commission-meeting.md,revize,https://www.loganutah.gov/departments/comdev/PC%20Minutes/PC%20Minutes%2008-13-20.pdf?t=202008311608530,text
